KB01.trim.fastq.gz	KB01
KB02.trim.fastq.gz	KB02
KB03.trim.fastq.gz	KB03
KB04.trim.fastq.gz	KB04
KB05.trim.fastq.gz	KB05
KB06.trim.fastq.gz	KB06
KB07.trim.fastq.gz	KB07
KB08.trim.fastq.gz	KB08
KB09.trim.fastq.gz	KB09
KB10.trim.fastq.gz	KB10
KK01.trim.fastq.gz	KK01
KK02.trim.fastq.gz	KK02
KK03.trim.fastq.gz	KK03
KK04.trim.fastq.gz	KK04
KK05.trim.fastq.gz	KK05
KK06.trim.fastq.gz	KK06
KK07.trim.fastq.gz	KK07
KK08.trim.fastq.gz	KK08
KK09.trim.fastq.gz	KK09
KK10.trim.fastq.gz	KK10
KL01.trim.fastq.gz	KL01
KL02.trim.fastq.gz	KL02
KL03.trim.fastq.gz	KL03
KL04.trim.fastq.gz	KL04
KL05.trim.fastq.gz	KL05
KL06.trim.fastq.gz	KL06
KL07.trim.fastq.gz	KL07
KL08.trim.fastq.gz	KL08
KL09.trim.fastq.gz	KL09
KL10.trim.fastq.gz	KL10
KM01.trim.fastq.gz	KM01
KM02.trim.fastq.gz	KM02
KM03.trim.fastq.gz	KM03
KM04.trim.fastq.gz	KM04
KM05.trim.fastq.gz	KM05
KM06.trim.fastq.gz	KM06
KM07.trim.fastq.gz	KM07
KM08.trim.fastq.gz	KM08
KM09.trim.fastq.gz	KM09
KM10.trim.fastq.gz	KM10
KS01.trim.fastq.gz	KS01
KS02.trim.fastq.gz	KS02
KS03.trim.fastq.gz	KS03
KS04.trim.fastq.gz	KS04
KS05.trim.fastq.gz	KS05
KS06.trim.fastq.gz	KS06
KS07.trim.fastq.gz	KS07
KS08.trim.fastq.gz	KS08
KS09.trim.fastq.gz	KS09
KS10.trim.fastq.gz	KS10
