Sample	Tissue
KB01	Brain
KB02	Brain
KB03	Brain
KB04	Brain
KB05	Brain
KB06	Brain
KB07	Brain
KB08	Brain
KB09	Brain
KB10	Brain
KK01	Kidney
KK02	Kidney
KK03	Kidney
KK04	Kidney
KK05	Kidney
KK06	Kidney
KK07	Kidney
KK08	Kidney
KK09	Kidney
KK10	Kidney
KL01	Liver
KL02	Liver
KL03	Liver
KL04	Liver
KL05	Liver
KL06	Liver
KL07	Liver
KL08	Liver
KL09	Liver
KL10	Liver
KM01	Muscle
KM02	Muscle
KM03	Muscle
KM04	Muscle
KM05	Muscle
KM06	Muscle
KM07	Muscle
KM08	Muscle
KM09	Muscle
KM10	Muscle
KS01	Skin
KS02	Skin
KS03	Skin
KS04	Skin
KS05	Skin
KS06	Skin
KS07	Skin
KS08	Skin
KS09	Skin
KS10	Skin
