Tissue	bin	gene_count	percent
Brain	0	3466	23.4696641386782
Brain	0-50	4874	33.0037919826652
Brain	100-200	1751	11.8567172264355
Brain	200-500	1769	11.978602383532
Brain	50-100	1379	9.33775731310943
Brain	>500	1529	10.3534669555796
Kidney	0	3404	23.2529544367785
Kidney	0-50	5025	34.3261151718014
Kidney	100-200	1804	12.3232461233691
Kidney	200-500	1707	11.6606325568686
Kidney	50-100	1322	9.03067149395451
Kidney	>500	1377	9.40638021722795
Liver	0	4311	29.7864989981345
Liver	0-50	5132	35.459130795274
Liver	100-200	1404	9.7008222206868
Liver	200-500	1318	9.10661231258205
Liver	50-100	1204	8.31893871346645
Liver	>500	1104	7.62799695985628
Muscle	0	4621	32.9107613417848
Muscle	0-50	5348	38.0884552382309
Muscle	100-200	988	7.03653585926928
Muscle	200-500	977	6.95819386083612
Muscle	50-100	916	6.52375186952496
Muscle	>500	1191	8.48230183035396
Skin	0	3558	24.1465897522905
Skin	0-50	4938	33.5120461486257
Skin	100-200	1738	11.7950458092976
Skin	200-500	1770	12.0122158126909
Skin	50-100	1181	8.01493043773329
Skin	>500	1550	10.5191720393621
