scaffold	no_genes
HAP1_scaffold_110	60
HAP1_scaffold_1	57
HAP1_scaffold_154	55
HAP1_scaffold_146	48
HAP1_scaffold_132	37
HAP1_scaffold_275	30
HAP1_scaffold_247	26
HAP1_scaffold_6	26
HAP1_scaffold_3	25
HAP1_scaffold_201	24
HAP1_scaffold_7	24
HAP1_scaffold_234	20
HAP1_scaffold_235	19
HAP1_scaffold_316	19
HAP1_scaffold_5	19
HAP1_scaffold_91	19
HAP1_scaffold_22	17
HAP1_scaffold_14	16
HAP1_scaffold_550	16
HAP1_scaffold_582	16
HAP1_scaffold_357	15
HAP1_scaffold_416	14
HAP1_scaffold_12	13
HAP1_scaffold_514	13
HAP1_scaffold_17	12
HAP1_scaffold_271	12
HAP1_scaffold_575	12
HAP1_scaffold_219	11
HAP1_scaffold_9	11
HAP1_scaffold_37	10
HAP1_scaffold_181	9
HAP1_scaffold_456	9
HAP1_scaffold_341	8
HAP1_scaffold_348	8
HAP1_scaffold_387	8
HAP1_scaffold_421	8
HAP1_scaffold_24	7
HAP1_scaffold_521	7
HAP1_scaffold_542	7
HAP1_scaffold_295	6
HAP1_scaffold_384	6
HAP1_scaffold_399	6
HAP1_scaffold_449	6
HAP1_scaffold_639	6
HAP1_scaffold_2	5
HAP1_scaffold_309	5
HAP1_scaffold_58	5
HAP1_scaffold_159	4
HAP1_scaffold_16	4
HAP1_scaffold_246	4
HAP1_scaffold_304	4
HAP1_scaffold_376	4
HAP1_scaffold_39	4
HAP1_scaffold_540	4
HAP1_scaffold_608	4
HAP1_scaffold_27	3
HAP1_scaffold_32	3
HAP1_scaffold_495	3
HAP1_scaffold_507	3
HAP1_scaffold_602	3
HAP1_scaffold_11	2
HAP1_scaffold_13	2
HAP1_scaffold_18	2
HAP1_scaffold_25	2
HAP1_scaffold_4	2
HAP1_scaffold_408	2
HAP1_scaffold_8	2
HAP1_scaffold_20	1
HAP1_scaffold_30	1
HAP1_scaffold_321	1
HAP1_scaffold_366	1
