Read name	Alignment start	Alignment end	Aligned span (bp)	Read length (bp)	Crosses sequence origin	Spans CYTB/copy1 junction (>=1 kb flanks)	Spans copy1/copy2 junction (>=1 kb flanks)	Traverses entire duplicated region	Category	MAPQ	Alignment NM
m84128_230914_044328_s2/107480581/ccs	156	11238	11083	11084	no	no	no	no	other	0	9
m84128_230914_044328_s2/224923984/ccs	1171	15336	14166	14166	no	no	no	no	other	0	4
m84128_231113_033234_s4/126817658/ccs	1506	20217	18712	18788	no	yes	yes	yes	traverses entire duplicated region	0	102
m84128_230914_044328_s2/160632882/ccs	1719	15816	14098	14102	no	yes	no	no	other	0	8
m84128_231113_033234_s4/181867440/ccs	2371	13171	10801	10801	no	no	no	no	other	0	0
m84128_230914_044328_s2/154602549/ccs	2873	4184	1312	13316	no	no	no	no	other	0	215
m84128_230914_044328_s2/38147908/ccs	2873	4184	1312	19303	no	no	no	no	other	0	220
m84128_231113_033234_s4/127863407/ccs	3354	19665	16312	16470	no	yes	yes	yes	traverses entire duplicated region	0	176
m84128_230914_044328_s2/190710255/ccs	3419	14336	10918	10919	no	no	no	no	other	0	1
m84128_231113_033234_s4/21234078/ccs	3609	15238	11630	11635	no	no	no	no	other	0	8
m84128_230914_044328_s2/132384929/ccs	3738	3737	20520	21832	yes	yes	yes	yes	traverses entire duplicated region	60	419
m84128_231113_033234_s4/81332790/ccs	4117	3900	20304	20610	yes	yes	yes	yes	traverses entire duplicated region	60	532
m84128_230914_044328_s2/129173931/ccs	4319	16897	12579	12563	no	yes	no	no	other	0	63
m84128_230914_044328_s2/164893276/ccs	5901	8325	2425	15309	no	no	no	no	other	0	420
m84128_231113_033234_s4/184813316/ccs	5904	8333	2430	13094	no	no	no	no	other	0	424
m84128_230914_044328_s2/93784547/ccs	5909	16380	10472	10481	no	yes	no	no	other	0	11
m84128_230914_044328_s2/225776440/ccs	7440	980	14061	14260	yes	yes	yes	yes	traverses entire duplicated region	60	204
m84128_230914_044328_s2/204145488/ccs	9362	9361	20520	21309	yes	yes	yes	yes	traverses entire duplicated region	60	187
m84128_231113_033234_s4/230294908/ccs	9467	3854	14908	15176	yes	yes	yes	yes	traverses entire duplicated region	60	309
m84128_231113_033234_s4/59049655/ccs	10515	1109	11115	11437	yes	yes	yes	yes	traverses entire duplicated region	60	322
m84128_230914_044328_s2/48169518/ccs	10831	20518	9688	9809	no	yes	yes	yes	traverses entire duplicated region	0	86
m84128_230914_044328_s2/194187442/ccs	11428	5994	15087	15348	yes	yes	yes	yes	traverses entire duplicated region	60	279
m84128_231113_033234_s4/182846825/ccs	11644	7777	16654	16997	yes	yes	yes	yes	traverses entire duplicated region	60	353
m84128_231113_033234_s4/118887417/ccs	11746	13110	1365	11958	no	no	no	no	other	0	240
m84128_230914_044328_s2/138417729/ccs	11903	5761	14379	14580	yes	yes	yes	yes	traverses entire duplicated region	60	237
m84128_230914_044328_s2/141035590/ccs	12146	4298	12673	12975	yes	yes	yes	yes	traverses entire duplicated region	60	376
m84128_231113_033234_s4/263654695/ccs	12793	6118	13846	13841	yes	yes	yes	yes	traverses entire duplicated region	60	24
m84128_230914_044328_s2/223479411/ccs	15045	7308	12784	12958	yes	no	yes	no	spans copy1/copy2 junction	60	356
m84128_230914_044328_s2/172425455/ccs	16055	16049	20515	20672	yes	yes	yes	no	spans copy1/copy2 junction	60	205
m84128_231113_033234_s4/132711292/ccs	16090	8318	12749	12948	yes	no	yes	no	spans copy1/copy2 junction	60	314
m84128_230914_044328_s2/114558090/ccs	16605	6598	10514	10612	yes	no	yes	no	spans copy1/copy2 junction	60	112
m84128_230914_044328_s2/201654732/ccs	16801	8423	12143	12310	yes	no	yes	no	spans copy1/copy2 junction	60	154
m84128_230914_044328_s2/227808011/ccs	16801	20518	3718	3810	no	no	yes	no	spans copy1/copy2 junction	0	1
m84128_230914_044328_s2/118752705/ccs	16913	7318	10926	10932	yes	no	yes	no	spans copy1/copy2 junction	60	10
m84128_230914_044328_s2/46402049/ccs	17777	17776	20520	20807	yes	yes	no	no	other	60	281
m84128_231113_033234_s4/51447063/ccs	17912	9517	12126	12220	yes	no	no	no	other	60	112
m84128_230914_044328_s2/119147802/ccs	18184	10082	12419	12682	yes	no	no	no	other	60	264
m84128_231113_033234_s4/209521379/ccs	18226	10337	12632	12741	yes	no	no	no	other	60	115
m84128_230914_044328_s2/107157161/ccs	18253	7910	10178	10351	yes	no	no	no	other	60	174
m84128_230914_044328_s2/65932546/ccs	18323	8603	10801	10996	yes	no	no	no	other	60	200
m84128_230914_044328_s2/150341933/ccs	18339	9453	11635	11868	yes	no	no	no	other	60	233
m84128_230914_044328_s2/244779863/ccs	18597	11047	12971	13173	yes	no	no	no	other	60	208
m84128_230914_044328_s2/237176918/ccs	18734	13634	15421	15320	yes	no	no	no	other	60	179
m84128_230914_044328_s2/122425078/ccs	19564	16291	17248	17255	yes	yes	no	no	other	60	11
m84128_230914_044328_s2/112202218/ccs	19836	11702	12387	12698	yes	no	no	no	other	60	311
m84128_230914_044328_s2/237571983/ccs	20025	7588	8084	8138	yes	no	no	no	other	60	58
