sequence	position	depth
atg000001l_rc_rotated	1	29
atg000001l_rc_rotated	2	29
atg000001l_rc_rotated	3	29
atg000001l_rc_rotated	4	29
atg000001l_rc_rotated	5	29
atg000001l_rc_rotated	6	29
atg000001l_rc_rotated	7	29
atg000001l_rc_rotated	8	29
atg000001l_rc_rotated	9	29
atg000001l_rc_rotated	10	29
atg000001l_rc_rotated	11	29
atg000001l_rc_rotated	12	29
atg000001l_rc_rotated	13	29
atg000001l_rc_rotated	14	29
atg000001l_rc_rotated	15	29
atg000001l_rc_rotated	16	29
atg000001l_rc_rotated	17	29
atg000001l_rc_rotated	18	29
atg000001l_rc_rotated	19	29
atg000001l_rc_rotated	20	29
atg000001l_rc_rotated	21	29
atg000001l_rc_rotated	22	29
atg000001l_rc_rotated	23	29
atg000001l_rc_rotated	24	29
atg000001l_rc_rotated	25	29
atg000001l_rc_rotated	26	29
atg000001l_rc_rotated	27	29
atg000001l_rc_rotated	28	29
atg000001l_rc_rotated	29	29
atg000001l_rc_rotated	30	29
atg000001l_rc_rotated	31	29
atg000001l_rc_rotated	32	29
atg000001l_rc_rotated	33	29
atg000001l_rc_rotated	34	29
atg000001l_rc_rotated	35	29
atg000001l_rc_rotated	36	29
atg000001l_rc_rotated	37	29
atg000001l_rc_rotated	38	29
atg000001l_rc_rotated	39	29
atg000001l_rc_rotated	40	29
atg000001l_rc_rotated	41	29
atg000001l_rc_rotated	42	29
atg000001l_rc_rotated	43	29
atg000001l_rc_rotated	44	29
atg000001l_rc_rotated	45	29
atg000001l_rc_rotated	46	29
atg000001l_rc_rotated	47	29
atg000001l_rc_rotated	48	29
atg000001l_rc_rotated	49	29
atg000001l_rc_rotated	50	29
atg000001l_rc_rotated	51	29
atg000001l_rc_rotated	52	29
atg000001l_rc_rotated	53	29
atg000001l_rc_rotated	54	29
atg000001l_rc_rotated	55	29
atg000001l_rc_rotated	56	29
atg000001l_rc_rotated	57	29
atg000001l_rc_rotated	58	29
atg000001l_rc_rotated	59	29
atg000001l_rc_rotated	60	29
atg000001l_rc_rotated	61	29
atg000001l_rc_rotated	62	29
atg000001l_rc_rotated	63	29
atg000001l_rc_rotated	64	29
atg000001l_rc_rotated	65	29
atg000001l_rc_rotated	66	29
atg000001l_rc_rotated	67	29
atg000001l_rc_rotated	68	29
atg000001l_rc_rotated	69	29
atg000001l_rc_rotated	70	29
atg000001l_rc_rotated	71	29
atg000001l_rc_rotated	72	29
atg000001l_rc_rotated	73	29
atg000001l_rc_rotated	74	29
atg000001l_rc_rotated	75	29
atg000001l_rc_rotated	76	29
atg000001l_rc_rotated	77	29
atg000001l_rc_rotated	78	29
atg000001l_rc_rotated	79	29
atg000001l_rc_rotated	80	29
atg000001l_rc_rotated	81	29
atg000001l_rc_rotated	82	29
atg000001l_rc_rotated	83	29
atg000001l_rc_rotated	84	29
atg000001l_rc_rotated	85	29
atg000001l_rc_rotated	86	29
atg000001l_rc_rotated	87	29
atg000001l_rc_rotated	88	29
atg000001l_rc_rotated	89	29
atg000001l_rc_rotated	90	29
atg000001l_rc_rotated	91	29
atg000001l_rc_rotated	92	29
atg000001l_rc_rotated	93	29
